FUNDAMENTOS DA COMPOSIÇÃO,
HISTÓRIA DA ARTE - DA PRÉ-HISTÓRIA AO SÉCULO XIII,
ANÁLISE REAL I,
ANÁLISE REAL II,
FUNDAMENTOS DA ESTATÍSTICA,
LINGUAGEM DE PROGRAMAÇÃO ESTATÍSTICA PARA BIOLOGIA,
BIOLOGIA MOLECULAR,
"FUNDAMENTOS DE FLUIDOS, ONDAS E TERMODINÂMICA",
LABORATÓRIO DE ONDAS E ELETRICIDADE E MAGNETISMO,
GESTÃO DA CADEIA DE SUPRIMENTOS,
GÊNERO E DIFERENÇAS,
EDUCAÇÃO AMBIENTAL,
ERGONOMIA,
ESTRATÉGIA EMPRESARIAL,
ANIMAÇÃO, FACOM
DIREITO DIGITAL E TECNOLÓGICO,
FÍSICA COMPUTACIONAL I, 
POLÍTICA BRASILEIRA,
